Date,Day_of_Week,Item,Category,Produced_Qty,Sold_Qty,Waste_Qty,Price_Per_Unit,Revenue,Waste_Loss,Expiry_Days
2023-10-09,Monday,Pastry,Bakery,95,79,16,60,4740,960,1
2023-10-09,Monday,Sandwich,FastFood,92,74,18,90,6660,1620,1
2023-10-09,Monday,Burger,FastFood,84,66,18,120,7920,2160,1
2023-10-09,Monday,Pizza Slice,FastFood,76,64,12,150,9600,1800,1
2023-10-09,Monday,Muffin,Bakery,91,84,7,50,4200,350,2
2023-10-09,Monday,Donut,Bakery,86,77,9,45,3465,405,2
2023-10-09,Monday,Cookies,Bakery,142,137,5,20,2740,100,7
2023-10-09,Monday,Brownie,Bakery,45,44,1,70,3080,70,3
2023-10-09,Monday,Roll,FastFood,81,61,20,80,4880,1600,1
2023-10-09,Monday,Samosa,FastFood,186,179,7,25,4475,175,1
2023-10-09,Monday,Puff,FastFood,146,132,14,35,4620,490,2
2023-10-09,Monday,Bun,Bakery,156,141,15,20,2820,300,1
2023-10-09,Monday,Garlic Bread,Bakery,83,72,11,110,7920,1210,2
2023-10-09,Monday,Cold Coffee,Beverage,52,45,7,140,6300,980,1
2023-10-09,Monday,Tea,Beverage,279,273,6,20,5460,120,0
2023-10-09,Monday,Juice,Beverage,113,93,20,60,5580,1200,1
2023-10-09,Monday,Wrap,FastFood,65,51,14,130,6630,1820,1
2023-10-09,Monday,Croissant,Bakery,50,46,4,80,3680,320,2
2023-10-10,Tuesday,Bread,Bakery,127,122,5,30,3660,150,1
2023-10-10,Tuesday,Cake,Bakery,37,32,5,350,11200,1750,2
2023-10-10,Tuesday,Pastry,Bakery,67,50,17,60,3000,1020,1
2023-10-10,Tuesday,Sandwich,FastFood,114,93,21,90,8370,1890,1
2023-10-10,Tuesday,Burger,FastFood,81,57,24,120,6840,2880,1
2023-10-10,Tuesday,Pizza Slice,FastFood,74,69,5,150,10350,750,1
2023-10-10,Tuesday,Muffin,Bakery,102,94,8,50,4700,400,2
2023-10-10,Tuesday,Donut,Bakery,66,56,10,45,2520,450,2
2023-10-10,Tuesday,Cookies,Bakery,135,129,6,20,2580,120,7
2023-10-10,Tuesday,Brownie,Bakery,70,63,7,70,4410,490,3
2023-10-10,Tuesday,Roll,FastFood,107,102,5,80,8160,400,1
2023-10-10,Tuesday,Samosa,FastFood,192,185,7,25,4625,175,1
2023-10-10,Tuesday,Puff,FastFood,145,135,10,35,4725,350,2
2023-10-10,Tuesday,Bun,Bakery,151,128,23,20,2560,460,1
2023-10-10,Tuesday,Garlic Bread,Bakery,54,50,4,110,5500,440,2
2023-10-10,Tuesday,Cold Coffee,Beverage,71,54,17,140,7560,2380,1
2023-10-10,Tuesday,Tea,Beverage,274,265,9,20,5300,180,0
2023-10-10,Tuesday,Juice,Beverage,96,80,16,60,4800,960,1
2023-10-10,Tuesday,Wrap,FastFood,92,74,18,130,9620,2340,1
2023-10-10,Tuesday,Croissant,Bakery,47,37,10,80,2960,800,2
2023-10-11,Wednesday,Bread,Bakery,128,117,11,30,3510,330,1
2023-10-11,Wednesday,Cake,Bakery,50,41,9,350,14350,3150,2
2023-10-11,Wednesday,Pastry,Bakery,70,52,18,60,3120,1080,1
2023-10-11,Wednesday,Sandwich,FastFood,100,90,10,90,8100,900,1
2023-10-11,Wednesday,Burger,FastFood,82,69,13,120,8280,1560,1
2023-10-11,Wednesday,Pizza Slice,FastFood,75,67,8,150,10050,1200,1
2023-10-11,Wednesday,Muffin,Bakery,94,87,7,50,4350,350,2
2023-10-11,Wednesday,Donut,Bakery,62,49,13,45,2205,585,2
2023-10-11,Wednesday,Cookies,Bakery,163,163,0,20,3260,0,7
2023-10-11,Wednesday,Brownie,Bakery,77,70,7,70,4900,490,3
2023-10-11,Wednesday,Roll,FastFood,100,78,22,80,6240,1760,1
2023-10-11,Wednesday,Samosa,FastFood,212,195,17,25,4875,425,1
2023-10-11,Wednesday,Puff,FastFood,144,134,10,35,4690,350,2
2023-10-11,Wednesday,Bun,Bakery,134,122,12,20,2440,240,1
2023-10-11,Wednesday,Garlic Bread,Bakery,74,64,10,110,7040,1100,2
2023-10-11,Wednesday,Cold Coffee,Beverage,60,39,21,140,5460,2940,1
2023-10-11,Wednesday,Tea,Beverage,291,281,10,20,5620,200,0
2023-10-11,Wednesday,Juice,Beverage,95,86,9,60,5160,540,1
2023-10-11,Wednesday,Wrap,FastFood,90,66,24,130,8580,3120,1
2023-10-11,Wednesday,Croissant,Bakery,60,55,5,80,4400,400,2
2023-10-12,Thursday,Bread,Bakery,122,104,18,30,3120,540,1
2023-10-12,Thursday,Cake,Bakery,41,29,12,350,10150,4200,2
2023-10-12,Thursday,Pastry,Bakery,69,64,5,60,3840,300,1
2023-10-12,Thursday,Sandwich,FastFood,96,78,18,90,7020,1620,1
2023-10-12,Thursday,Burger,FastFood,92,83,9,120,9960,1080,1
2023-10-12,Thursday,Pizza Slice,FastFood,82,58,24,150,8700,3600,1
2023-10-12,Thursday,Muffin,Bakery,97,87,10,50,4350,500,2
2023-10-12,Thursday,Donut,Bakery,69,58,11,45,2610,495,2
2023-10-12,Thursday,Cookies,Bakery,165,159,6,20,3180,120,7
2023-10-12,Thursday,Brownie,Bakery,54,53,1,70,3710,70,3
2023-10-12,Thursday,Roll,FastFood,82,74,8,80,5920,640,1
2023-10-12,Thursday,Samosa,FastFood,187,167,20,25,4175,500,1
2023-10-12,Thursday,Puff,FastFood,122,118,4,35,4130,140,2
2023-10-12,Thursday,Bun,Bakery,137,116,21,20,2320,420,1
2023-10-12,Thursday,Garlic Bread,Bakery,67,61,6,110,6710,660,2
2023-10-12,Thursday,Cold Coffee,Beverage,53,30,23,140,4200,3220,1
2023-10-12,Thursday,Tea,Beverage,266,258,8,20,5160,160,0
2023-10-12,Thursday,Juice,Beverage,113,96,17,60,5760,1020,1
2023-10-12,Thursday,Wrap,FastFood,80,73,7,130,9490,910,1
2023-10-12,Thursday,Croissant,Bakery,70,63,7,80,5040,560,2
2023-10-13,Friday,Bread,Bakery,119,101,18,30,3030,540,1
2023-10-13,Friday,Cake,Bakery,41,27,14,350,9450,4900,2
2023-10-13,Friday,Pastry,Bakery,65,46,19,60,2760,1140,1
2023-10-13,Friday,Sandwich,FastFood,95,85,10,90,7650,900,1
2023-10-13,Friday,Burger,FastFood,91,67,24,120,8040,2880,1
2023-10-13,Friday,Pizza Slice,FastFood,62,55,7,150,8250,1050,1
2023-10-13,Friday,Muffin,Bakery,77,69,8,50,3450,400,2
2023-10-13,Friday,Donut,Bakery,71,58,13,45,2610,585,2
2023-10-13,Friday,Cookies,Bakery,135,132,3,20,2640,60,7
2023-10-13,Friday,Brownie,Bakery,48,45,3,70,3150,210,3
2023-10-13,Friday,Roll,FastFood,94,85,9,80,6800,720,1
2023-10-13,Friday,Samosa,FastFood,206,186,20,25,4650,500,1
2023-10-13,Friday,Puff,FastFood,118,107,11,35,3745,385,2
2023-10-13,Friday,Bun,Bakery,148,134,14,20,2680,280,1
2023-10-13,Friday,Garlic Bread,Bakery,70,58,12,110,6380,1320,2
2023-10-13,Friday,Cold Coffee,Beverage,67,46,21,140,6440,2940,1
2023-10-13,Friday,Tea,Beverage,277,272,5,20,5440,100,0
2023-10-13,Friday,Juice,Beverage,108,89,19,60,5340,1140,1
2023-10-13,Friday,Wrap,FastFood,73,57,16,130,7410,2080,1
2023-10-13,Friday,Croissant,Bakery,45,39,6,80,3120,480,2
2023-10-14,Saturday,Bread,Bakery,132,123,9,30,3690,270,1
2023-10-14,Saturday,Cake,Bakery,41,31,10,350,10850,3500,2
2023-10-14,Saturday,Pastry,Bakery,86,67,19,60,4020,1140,1
2023-10-14,Saturday,Sandwich,FastFood,105,93,12,90,8370,1080,1
2023-10-14,Saturday,Burger,FastFood,111,90,21,120,10800,2520,1
2023-10-14,Saturday,Pizza Slice,FastFood,87,74,13,150,11100,1950,1
2023-10-14,Saturday,Muffin,Bakery,94,91,3,50,4550,150,2
2023-10-14,Saturday,Donut,Bakery,90,86,4,45,3870,180,2
2023-10-14,Saturday,Cookies,Bakery,186,186,0,20,3720,0,7
2023-10-14,Saturday,Brownie,Bakery,54,54,0,70,3780,0,3
2023-10-14,Saturday,Roll,FastFood,111,93,18,80,7440,1440,1
2023-10-14,Saturday,Samosa,FastFood,223,207,16,25,5175,400,1
2023-10-14,Saturday,Puff,FastFood,154,141,13,35,4935,455,2
2023-10-14,Saturday,Bun,Bakery,178,164,14,20,3280,280,1
2023-10-14,Saturday,Garlic Bread,Bakery,92,78,14,110,8580,1540,2
2023-10-14,Saturday,Cold Coffee,Beverage,60,38,22,140,5320,3080,1
2023-10-14,Saturday,Tea,Beverage,335,327,8,20,6540,160,0
2023-10-14,Saturday,Juice,Beverage,122,104,18,60,6240,1080,1
2023-10-14,Saturday,Wrap,FastFood,83,64,19,130,8320,2470,1
2023-10-14,Saturday,Croissant,Bakery,71,68,3,80,5440,240,2
2023-10-15,Sunday,Bread,Bakery,126,115,11,30,3450,330,1
2023-10-15,Sunday,Cake,Bakery,46,35,11,350,12250,3850,2
2023-10-15,Sunday,Pastry,Bakery,87,75,12,60,4500,720,1
2023-10-15,Sunday,Sandwich,FastFood,100,90,10,90,8100,900,1
2023-10-15,Sunday,Burger,FastFood,99,78,21,120,9360,2520,1
2023-10-15,Sunday,Pizza Slice,FastFood,73,50,23,150,7500,3450,1
2023-10-15,Sunday,Muffin,Bakery,112,105,7,50,5250,350,2
2023-10-15,Sunday,Donut,Bakery,103,91,12,45,4095,540,2
2023-10-15,Sunday,Cookies,Bakery,186,184,2,20,3680,40,7
2023-10-15,Sunday,Brownie,Bakery,88,83,5,70,5810,350,3
2023-10-15,Sunday,Roll,FastFood,96,79,17,80,6320,1360,1
2023-10-15,Sunday,Samosa,FastFood,248,240,8,25,6000,200,1
2023-10-15,Sunday,Puff,FastFood,157,151,6,35,5285,210,2
2023-10-15,Sunday,Bun,Bakery,175,153,22,20,3060,440,1
2023-10-15,Sunday,Garlic Bread,Bakery,67,59,8,110,6490,880,2
2023-10-15,Sunday,Cold Coffee,Beverage,79,74,5,140,10360,700,1
2023-10-15,Sunday,Tea,Beverage,303,294,9,20,5880,180,0
2023-10-15,Sunday,Juice,Beverage,129,105,24,60,6300,1440,1
2023-10-15,Sunday,Wrap,FastFood,97,79,18,130,10270,2340,1
2023-10-15,Sunday,Croissant,Bakery,65,58,7,80,4640,560,2
2023-10-16,Monday,Bread,Bakery,139,118,21,30,3540,630,1
2023-10-16,Monday,Cake,Bakery,34,28,6,350,9800,2100,2
2023-10-16,Monday,Pastry,Bakery,76,71,5,60,4260,300,1
2023-10-16,Monday,Sandwich,FastFood,108,95,13,90,8550,1170,1
2023-10-16,Monday,Burger,FastFood,85,70,15,120,8400,1800,1
2023-10-16,Monday,Pizza Slice,FastFood,73,53,20,150,7950,3000,1
2023-10-16,Monday,Muffin,Bakery,90,80,10,50,4000,500,2
2023-10-16,Monday,Donut,Bakery,62,52,10,45,2340,450,2
2023-10-16,Monday,Cookies,Bakery,169,164,5,20,3280,100,7
2023-10-16,Monday,Brownie,Bakery,63,57,6,70,3990,420,3
2023-10-16,Monday,Roll,FastFood,95,77,18,80,6160,1440,1
2023-10-16,Monday,Samosa,FastFood,188,177,11,25,4425,275,1
2023-10-16,Monday,Puff,FastFood,136,133,3,35,4655,105,2
2023-10-16,Monday,Bun,Bakery,147,127,20,20,2540,400,1
2023-10-16,Monday,Garlic Bread,Bakery,83,73,10,110,8030,1100,2
2023-10-16,Monday,Cold Coffee,Beverage,49,28,21,140,3920,2940,1
2023-10-16,Monday,Tea,Beverage,265,260,5,20,5200,100,0
2023-10-16,Monday,Juice,Beverage,117,101,16,60,6060,960,1
2023-10-16,Monday,Wrap,FastFood,81,61,20,130,7930,2600,1
2023-10-16,Monday,Croissant,Bakery,41,27,14,80,2160,1120,2
2023-10-17,Tuesday,Bread,Bakery,106,96,10,30,2880,300,1
2023-10-17,Tuesday,Cake,Bakery,31,27,4,350,9450,1400,2
2023-10-17,Tuesday,Pastry,Bakery,92,85,7,60,5100,420,1
2023-10-17,Tuesday,Sandwich,FastFood,110,94,16,90,8460,1440,1
2023-10-17,Tuesday,Burger,FastFood,99,84,15,120,10080,1800,1
2023-10-17,Tuesday,Pizza Slice,FastFood,74,68,6,150,10200,900,1
2023-10-17,Tuesday,Muffin,Bakery,79,74,5,50,3700,250,2
2023-10-17,Tuesday,Donut,Bakery,81,69,12,45,3105,540,2
2023-10-17,Tuesday,Cookies,Bakery,156,151,5,20,3020,100,7
2023-10-17,Tuesday,Brownie,Bakery,52,50,2,70,3500,140,3
2023-10-17,Tuesday,Roll,FastFood,99,94,5,80,7520,400,1
2023-10-17,Tuesday,Samosa,FastFood,213,201,12,25,5025,300,1
2023-10-17,Tuesday,Puff,FastFood,120,107,13,35,3745,455,2
2023-10-17,Tuesday,Bun,Bakery,141,136,5,20,2720,100,1
2023-10-17,Tuesday,Garlic Bread,Bakery,62,56,6,110,6160,660,2
2023-10-17,Tuesday,Cold Coffee,Beverage,62,55,7,140,7700,980,1
2023-10-17,Tuesday,Tea,Beverage,262,259,3,20,5180,60,0
2023-10-17,Tuesday,Juice,Beverage,114,105,9,60,6300,540,1
2023-10-17,Tuesday,Wrap,FastFood,89,75,14,130,9750,1820,1
2023-10-17,Tuesday,Croissant,Bakery,66,60,6,80,4800,480,2
2023-10-18,Wednesday,Bread,Bakery,127,118,9,30,3540,270,1
2023-10-18,Wednesday,Cake,Bakery,49,39,10,350,13650,3500,2
2023-10-18,Wednesday,Pastry,Bakery,83,73,10,60,4380,600,1
2023-10-18,Wednesday,Sandwich,FastFood,97,73,24,90,6570,2160,1
2023-10-18,Wednesday,Burger,FastFood,76,54,22,120,6480,2640,1
2023-10-18,Wednesday,Pizza Slice,FastFood,71,63,8,150,9450,1200,1
2023-10-18,Wednesday,Muffin,Bakery,100,86,14,50,4300,700,2
2023-10-18,Wednesday,Donut,Bakery,75,65,10,45,2925,450,2
2023-10-18,Wednesday,Cookies,Bakery,145,142,3,20,2840,60,7
2023-10-18,Wednesday,Brownie,Bakery,54,53,1,70,3710,70,3
2023-10-18,Wednesday,Roll,FastFood,95,82,13,80,6560,1040,1
2023-10-18,Wednesday,Samosa,FastFood,207,195,12,25,4875,300,1
2023-10-18,Wednesday,Puff,FastFood,145,136,9,35,4760,315,2
2023-10-18,Wednesday,Bun,Bakery,156,143,13,20,2860,260,1
2023-10-18,Wednesday,Garlic Bread,Bakery,58,47,11,110,5170,1210,2
2023-10-18,Wednesday,Cold Coffee,Beverage,49,28,21,140,3920,2940,1
2023-10-18,Wednesday,Tea,Beverage,281,278,3,20,5560,60,0
2023-10-18,Wednesday,Juice,Beverage,101,80,21,60,4800,1260,1
2023-10-18,Wednesday,Wrap,FastFood,72,58,14,130,7540,1820,1
2023-10-18,Wednesday,Croissant,Bakery,47,34,13,80,2720,1040,2
2023-10-19,Thursday,Bread,Bakery,113,97,16,30,2910,480,1
2023-10-19,Thursday,Cake,Bakery,48,44,4,350,15400,1400,2
2023-10-19,Thursday,Pastry,Bakery,84,62,22,60,3720,1320,1
2023-10-19,Thursday,Sandwich,FastFood,108,98,10,90,8820,900,1
2023-10-19,Thursday,Burger,FastFood,90,76,14,120,9120,1680,1
2023-10-19,Thursday,Pizza Slice,FastFood,67,49,18,150,7350,2700,1
2023-10-19,Thursday,Muffin,Bakery,83,75,8,50,3750,400,2
2023-10-19,Thursday,Donut,Bakery,85,77,8,45,3465,360,2
2023-10-19,Thursday,Cookies,Bakery,137,136,1,20,2720,20,7
